# Simulation Log
# Model: Delay Equation Model
# Timestamp: 2025-10-23 20:12:06
# Parameters: 
#   {
#       "catchStockingRate": 0.5,
#       "catchability": 2.0,
#       "fishPrice": 7.0,
#       "fishingCost": 1.0,
#       "initialFishMarketStock": 0.1,
#       "initialFishStock": 0.4,
#       "initialHarvestingEffort": 0.4,
#       "reproductionRate": 1.0,
#       "simulationYears": 20,
#       "stepsPerYear": 100,
#       "stockReturnRate": 2.0
#   }
# 
Time_Year,Population_n,Effort_E,MarketStock_S
4.76000000,0.00180751,0.10556237,0.00019269
4.77000000,0.00182174,0.10454708,0.00019074
4.78000000,0.00183611,0.10354165,0.00018883
4.79000000,0.00185064,0.10254598,0.00018696
4.80000000,0.00186531,0.10155997,0.00018512
4.81000000,0.00188014,0.10058355,0.00018331
4.82000000,0.00189513,0.09961662,0.00018153
4.83000000,0.00191027,0.09865908,0.00017979
4.84000000,0.00192556,0.09771085,0.00017808
4.85000000,0.00194102,0.09677185,0.00017640
4.86000000,0.00195664,0.09584197,0.00017475
4.87000000,0.00197241,0.09492115,0.00017313
4.88000000,0.00198835,0.09400928,0.00017154
4.89000000,0.00200446,0.09310629,0.00016998
4.90000000,0.00202073,0.09221208,0.00016845
4.91000000,0.00203717,0.09132659,0.00016694
4.92000000,0.00205378,0.09044972,0.00016546
4.93000000,0.00207056,0.08958139,0.00016401
4.94000000,0.00208751,0.08872152,0.00016258
4.95000000,0.00210464,0.08787003,0.00016119
4.96000000,0.00212194,0.08702684,0.00015981
4.97000000,0.00213943,0.08619187,0.00015846
4.98000000,0.00215709,0.08536505,0.00015714
4.99000000,0.00217493,0.08454629,0.00015583
5.00000000,0.00219295,0.08373551,0.00015456
5.01000000,0.00221116,0.08293265,0.00015330
5.02000000,0.00222956,0.08213762,0.00015207
5.03000000,0.00224814,0.08135035,0.00015086
5.04000000,0.00226691,0.08057077,0.00014967
5.05000000,0.00228588,0.07979880,0.00014850
5.06000000,0.00230504,0.07903438,0.00014736
5.07000000,0.00232439,0.07827741,0.00014623
5.08000000,0.00234394,0.07752785,0.00014513
5.09000000,0.00236369,0.07678561,0.00014404
5.10000000,0.00238364,0.07605062,0.00014298
5.11000000,0.00240380,0.07532282,0.00014193
5.12000000,0.00242415,0.07460214,0.00014090
5.13000000,0.00244472,0.07388850,0.00013989
5.14000000,0.00246549,0.07318185,0.00013890
5.15000000,0.00248648,0.07248211,0.00013793
5.16000000,0.00250768,0.07178921,0.00013697
5.17000000,0.00252909,0.07110310,0.00013603
5.18000000,0.00255072,0.07042370,0.00013511
5.19000000,0.00257257,0.06975095,0.00013420
5.20000000,0.00259464,0.06908479,0.00013331
5.21000000,0.00261694,0.06842515,0.00013244
5.22000000,0.00263946,0.06777198,0.00013158
5.23000000,0.00266220,0.06712520,0.00013074
5.24000000,0.00268518,0.06648476,0.00012991
5.25000000,0.00270839,0.06585060,0.00012910
5.26000000,0.00273183,0.06522265,0.00012830
5.27000000,0.00275551,0.06460086,0.00012752
